Lot Name,Address,Price
Bay Parkade - Lot #204,"450 Portage Avenue Winnipeg, MB",$4.00 for the first hour and $1.75 per each additional 1/2hr
Abbott Clinic - Lot #9,"274 Osborne Street North Winnipeg, MB",$2.00 evening until 7 am
406 NOTRE DAME AVE - Lot #373,"406 NOTRE DAME AVENUE Winnipeg, MB",
344 EDMONTON - Lot #361,"344 EDMONTON STREET Winnipeg, MB",$4.00 eve (6pm-7am) & weekends (7am-6pm)
200 Vaughan - Lot #54,"233 Vaughan Street Winnipeg, MB",$4.00 per hr
Winnipeg Clinic - Lot #325,"425 St Mary Avenue Winnipeg, MB",$4.50 per hr (until 6pm)
Winnipeg Clinic - Lot #326,"240 Kennedy Street Winnipeg, MB",
MEDICAL ARTS - 233 KENNEDY - Lot #371,"233 KENNEDY STREET Winnipeg, MB","$4.00 /  hr, (6am-6pm)"
444 St Mary Parkade - Lot #85,"180 Kennedy Street Winnipeg, MB","$4.00 per hour, $2.50 for each additional hour"
329 Cumberland Avenue - Lot #116,"329 Cumberland Avenue Winnipeg, MB",$3.00 per hr
365 Hargrave Street - Lot #232,"365 Hargrave Street Winnipeg, MB",
400 St Mary - Lot #18,"400 St Mary Ave Winnipeg, MB",call Winnipeg office at 204-943-3578 for monthly rates
Hargrave & McDermot - Lot #52,"337 McDermot Avenue Winnipeg, MB",$4.00 per hr
Calvary Temple - Lot #381,"318 Notre Dame Winnipeg, MB",$3.00 / hr
Royal Wpg Ballet Parkade - Lot #167,"235 Edmonton Street Winnipeg, MB","$4.00 per hour, $8 per 2hrs"
Edmonton & St Mary - Lot #84,"190 Edmonton Street Winnipeg, MB",$4 per hour
309 Cumberland Avenue - Lot #268,"315 Cumberland Avenue Winnipeg, MB",$3.00 eve max (until 6am)
Donald and Ellice - Lot #23,"330 Donald Street Winnipeg, MB",$4 per hour
348 ELGIN AVENUE - Lot #370,"348 ELGIN AVENUE Winnipeg, MB",$6 per hr
Burton Cummings Theatre - Lot #26,"366 Smith Street Winnipeg, MB",$4.00 per hr
Cityplace Lot 1 - Lot #306,"266 Hargrave Street Winnipeg, MB",$4.00 per hour
Lakeview Square Parkade - Lot #120,"350 St Mary Avenue Winnipeg, MB",$6.00 per hr
Smith Street Parkade - Lot #125,"330 Smith Street Winnipeg, MB","$1.50 per 30 mins, $3.00 per additional hour"
351 SMITH STREET - Lot #367,"351 SMITH STREET Winnipeg, MB",$4.00 per hr
85 Princess - Lot #3,"85 Princess Street Winnipeg, MB",$4.00 per hour
Edmonton & Broadway - Lot #186,"374 Broadway Winnipeg, MB",$4.50 per hr
Cityplace Lot 4 - Lot #309,"215 Hargrave Street Winnipeg, MB",$5.00 per hour
35 King Street - Lot #181,"35 King Street Winnipeg, MB",$5.00 per hr
50 Arthur Street - Lot #201,"50 Arthur Street Winnipeg, MB",$4 eve max (until 7am)
80 Carlton - Lot #289,"80 Carlton Street Winnipeg, MB","$4.00 eve max (until 7am), $2.00 weekend flat"
39 Arthur Street - Lot #2,"21 Arthur Street Winnipeg, MB",$4.00 per hr
127 Princess Street - Lot #75,"127 Princess Street Winnipeg, MB",$4.00 per hr
51 Arthur - Lot #202,"51 Arthur Street Winnipeg, MB",$4.00 eve max (until 7am)
Bedford Parkade - Lot #1,"100 King Street Winnipeg, MB",4.00 per hour
MILLENIUM LIBRARY - Lot #12,"251 Donald Street Winnipeg, MB",$4.00 per hr
